[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[80.78] FSAE Aero Pwr90%, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/11/2016 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FSAE Aero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[KPI Values],,,,,,,,,,,,,,,,,,,,,,,,,,
Lap time [s],80.78055382,,,,,,,,,,,,,,,,,,,,,,,,,
Percent in Corners [%],87.65349784,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Accelerating [%],63.86230271,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Braking [%],35.25806932,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Coasting [%],0.714922438,,,,,,,,,,,,,,,,,,,,,,,,,
Percent 100% Throttle [%],9.431329362,,,,,,,,,,,,,,,,,,,,,,,,,
Percent TCS Enabled [%],24.00941136,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest Speed [km/h],27.80926847,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Speed [km/h],124.43866,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed [km/h],70.45230156,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Spent [kJ],1781.734989,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Consumption [kg],0.125828742,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Shifts [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Lateral Acceleration [m/s^2],16.83050429,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Longitudinal Acceleration [m/s^2],9.249534819,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Longitudinal Deceleration [m/s^2],-21.40118217,,,,,,,,,,,,,,,,,,,,,,,,,
Time in Sector 1 [s],80.78055382,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Speed in Sector 1 [km/h],124.43866,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Speed in Sector 1 [km/h],27.80926847,,,,,,,,,,,,,,,,,,,,,,,,,
Percent in Gear 1 [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Vehicle Parameters],,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Mass [kg],270,,,,,,,,,,,,,,,,,,,,,,,,,
Drag Coefficient [-],0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Downforce Coefficient [-],1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Frontal Area [m^2],1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Drivetrain Efficiency [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Tire Rolling Radius [m],0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Air Density [kg/m^3],1.2255,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Weight on Driven Wheel [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Final Drive Ratio [-],1,,,,,,,,,,,,,,,,,,,,,,,,,
Longitudinal Friction [-],1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Lateral Friction [-],1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Energy Density [J/kg],47200000,,,,,,,,,,,,,,,,,,,,,,,,,
Engine Thermal Efficiency [%],30,,,,,,,,,,,,,,,,,,,,,,,,,
Tire Rolling Drag [-],0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Power Scaling Factor [%],90,,,,,,,,,,,,,,,,,,,,,,,,,
Aero Scaling Factor [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Grip Scaling Factor [%],100,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Lateral Friction [kg],0,,,,,,,,,,,,,,,,,,,,,,,,,
Load Sensitivity Lateral Friction [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Longitudinal Friction [kg],0,,,,,,,,,,,,,,,,,,,,,,,,,
Load Sensitivity Longitudinal Friction [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Aero Efficiency [-],1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Torque Data [N.m],0,,,,,,,,,,,,,,,,,,,,,,,,,
RPM Data [rpm],0,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Ratio Data [-],0,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Shift Points [rpm],0,,,,,,,,,,,,,,,,,,,,,,,,,
Rev Limit [rpm],20000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Vehicle KPIs],,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Point [1 to 2] [rpm],20000,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Point [2 to 3] [rpm],20000,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Point [3 to 4] [rpm],20000,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Speed [1 to 2] [km/h],87.7651281,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Speed [2 to 3] [km/h],105.3181537,,,,,,,,,,,,,,,,,,,,,,,,,
Shift Speed [3 to 4] [km/h],131.6476922,,,,,,,,,,,,,,,,,,,,,,,,,
Top Speed [km/h],127.5969939,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration Time To Speed [27.778 km/h] [s],0,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration Time For Distance [100 m] [s],4.801636973,,,,,,,,,,,,,,,,,,,,,,,,,
Deceleration Time For Speed [27.778 km/h] [s],0,,,,,,,,,,,,,,,,,,,,,,,,,
Deceleration Distance For Speed [27.778 km/h] [m],0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Simulation Results],,,,,,,,,,,,,,,,,,,,,,,,,,
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
89.16235533,0.008261085,0.25,10.22366976,6.152741399,1,13,13975.62005,31.95770417,76.63639543,496.1526489,493.8235284,0,31.5348178,0,-48.63522664,1,108.944521,1.5,1.4,0,0,0,0.163318698,0.188853534,0,3144.852649
56.53127641,0.024419265,0.5,-5.698770097,-14.30186702,1,13,8860.910382,40.83081833,50.8078689,199.4480674,132.9653783,0,0,91.65431627,-43.27045327,1,101.2111298,1.5,1.4,-0.297753459,-2.356462709,-15.27202992,0.335374533,0.380475945,0,2848.148067
55.69934474,0.040819708,0.75,-6.315254829,-13.9355702,1,13,8730.510496,40.97165725,50.23283862,193.6209835,129.0806556,0,0,89.44701204,-37.90567991,1,93.34302467,1.5,1.4,-0.636246824,-3.368792897,-6.463908894,0.508460056,0.57124153,0,2842.320983
54.87656645,0.057468426,1,-7.046342924,-13.65390211,1,13,8601.545344,41.11094658,49.65906181,187.9429807,125.2953205,0,0,87.80182246,-32.97653983,1,85.92336571,1.5,1.4,-1.035631516,-4.029482916,-4.155713049,0.682705532,0.761020412,0,2836.642981
54.05821454,0.074369922,1.25,-7.527953225,-13.28760396,1,13,8473.273998,41.24948656,49.08336718,182.3793421,121.5862281,0,0,85.56536381,-29.95307967,1,81.24440546,1.5,1.4,-1.472707812,-4.534474525,-3.128870878,0.858299556,0.949612239,0,2831.079342
